Submission Title,Submission Url,Plain Description,Video,Website,File Url,Desired Prizes,Built With,First Time,What Room Are You In?,What's Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab,Submitter Screen Name,College/Universities Of Team Members,Additional Team Member Count,Team Member 1 Screen Name,...,
Hack U Knight (CyberHack Game),https://hackcuv.devpost.com/submissions/113965-hack-u-knight-cyberhack-game,"Inspiration

We really liked the powerpoint about how cybersecurity is underrepresented. David is currently taking a cyber security class and the rest of us are interested.

What it does

Our game is a top-down 2D puzzle game. The goal of the game is to use hacking and cryptography concepts to get your way to the end. We've structured the levels so that each room teaches a different concept. We really wanted to emphasize that the game was a fun learning experience, not a lecture or a tutorial with blocks of text. Our puzzles are designed to have the student realize how each concept works at a base level and experiencing each concept by trying to solve said puzzles. The concepts we cover are Brute Force, Dictionary Attacks, Caesar cipher, Crypto Analytic attack, and Binary Decryption.

How we built it

Caffeine. Lots of it.

We built the game from scratch. Most of us had never used Unity before and the one person who did has never made a top-down 2d game. Many of the art assets were premade or imported. We created all the scripts and mechanics from scratch, Matt worked mainly on the beautiful dialogue system and worked to make sure that the entire system flowed seamlessly. David knew the most about cryptography and worked in getting the concepts into the game and event triggers. Andrew worked on designing the analog puzzle and designed and built the entire circuit. Eric did basic movement mechanics and level design, animation, and event triggering. The entire thing was a huge collaborative effort and a lot of mistakes and learning were done. In the end, we are incredibly proud of our final product!

Challenges we ran into

3 out of 4 of our team members had never touched Unity or c# before ever! Learning to program in the language on a completely alien platform was a challenge when we started. The first 4 hours of this hackathon was spent downloading unity, troubleshooting unity, and learning basic Unity functionality. 

We also tried really hard to incorporate a hardware portion to our project, showing that these very cyber-focused concepts could be applied in real life. None of us are electrical engineers but we were able to create a small circuit system that uses logic gates to represent binary and this aids in solving one of our puzzles!

Accomplishments that we're proud of

Learning Unity and C# in a very short span of time. Creating a game in the span of 24 hours. Creating a circuit board that demonstrates uses of cryptography in an analog setting using logic gates. Pulling an all-nighter (totally worth it). Collaborating on one project and not running into too many merge issues. Actually finishing a La Croix (not worth it). 

Creating a truly fun and educational game that adheres to the bounds of the challenge given.

What we learned

Circuits are super hard. Drawing them is hard, making them work is even harder. But they're super rewarding when they work.

Unity and C#. Public variables are not as good as protected variables. Use prefabs when using an object repeatedly. Crunch time means functionality comes first, but don't let that deteriorate the quality of what you do.
Lime La Croix still isn't good.

What's next for Hack U Knight (CyberHack Game)

Scaling level difficulty (both conceptually and mechanically) that includes more interaction, contact with ""real"" programming, much more complex encryption methods, etc. We also would like to add a much deeper storyline including but not limited to a physical antagonist that the student has to battle against using the encryption method that they've learned. We want to be able to convey these concepts clearly in as fun of a way possible!
",,http://bit.ly/2SpfGMq,,"Design, Build or Break Cyber Games for K-12 Education, Best Hardware Hack, Best Beginner Hack","unity, c#",1,Main auditorium,23,CU Boulder,,,Eric-Weng,University of Colorado at Boulder,1,andrewmeikle,,
Bike Along,https://hackcuv.devpost.com/submissions/113966-bike-along,"Inspiration

We want to build a technology that encourages kids to go out and ride their bikes more. We believe that parents today aren't comfortable with their kids going out and biking without supervision, so kids are limited to biking when a parent is available.

What it does

This project consists of 2 apps: one for the parent and one for the child.

The parent's app provides an interface to plan a bike route for their child. The app displays the child's location in real time and sends a notification to the parent if the child deviates from the established route.

The child's app consists of a map (with the planned route plotted) and a panic button. If the panic button is pressed the parent's app is notified of an emergency.

Both apps communicate with a server, which makes sure the child stays on the planned route and notifies the parent otherwise.

How we built it

For both the parent and child apps, we used ReactJS for the front-end. The child app polls for GPS coordinates and posts them to a server. The server determines if the child is still on the planned route and notifies the parent app if not.

Challenges we ran into

We ran into problems deploying to the server.

Accomplishments that we're proud of

We got real-time location tracking using GPS to work. We also got the Google Maps Directions API to give us textual directions for processing.

What we learned

Boskin learned about ReactJS and various dependency managers (NPM and Yarn).

What's next for Bike Along

We want to polish the user interface more and make the navigation directions on the child app more kid-friendly.
",,https://github.com/JakeC1020/BikeAlong,,"Kids + Bikes = happier, more attentive students in the classroom, Dish Device Tracker","react, docker",0,Vail,51,University of Colorado Boulder,,,Boskin,University of Colorado at Boulder,2,JakeC1020,BrentDagdagan,
HappyBiking,https://hackcuv.devpost.com/submissions/113968-happybiking,"Inspiration

To help children enjoy biking while going to school or anywhere else. Thus creating a pleasant experience for the student while riding and also giving an urge to go out to do some physical exercise. 

What it does

The students can start a app from their android mobile before they start from their source location and then while the student is on the road, the letters of English alphabets gets collected in the app according to the time and location the student is travelling. Once the student has reached the destination location, he can use the collected letters to make as many words as possible and improve their English skills. This creates an interest in the student to ride more and to learn more eventually. And finally when the student submits the answer, the answer are compared with a text file in the student mobile which is a dictionary.txt which contains all the dictionary word in it and gives out the score of the student as well. Hence he can improve further. 

How we built it

We built it using android studio app and basically created 3 activities to implement the above mentioned functionalities. 

Challenges we ran into

In the above app we tried to integrate the google maps API to improve it much further but it was a tough job and hence for now we excluded that feature and implemented the rest in our app. For now the words are calculated using the time period the student is riding. 

Accomplishments that we're proud of

We are proud that we implemented most of what we had in mind about the app.

What we learned

We learned to integrate API's into mobile app but couldn't combine that integrated API with our main app. We also learnt a lot more about how the mobile application is function as we coded through the activities in our app. 

What's next for HappyBiking

-> We are planning to implement the google maps API and also to integrate one more feature which will help the parents know the students location if they send a message to the students mobile. 

-> For the parent app part, once the parent sends a message, automatically the google map location link(GPS based, if GPS is not working, the network is accessed) from the kids mobile is sent as a text message to the parents without the student's need to access the mobile. 

-> We plan to add this feature that we have already and add the google API and do further improvements to it. One more thing we can add to the app is that check whether the student is originally riding from the source to the destination or not. And if the student tries to use the mobile while riding or inbetween, we can cancel the game for the student during that ride.

-> We can also create a student class community to improve the usage and learning experience in classrooms. Biking leaderboard can also be created eventually.  
",,https://github.com/subu3396/HappyBiking,,"Kids + Bikes = happier, more attentive students in the classroom, Best Smart contract usage, Best Beginner Hack","java, xml, android-studio",1,Main auditorium,22,Colorado State University,,,Subramaniam,"Colorado State University, Sri Venkateswara university",3,lizacool612,HariHaraKumar,rohitg17
Script Kiddie,https://hackcuv.devpost.com/submissions/113971-script-kiddie,"Inspiration

I want to educate people about encryption by incentivizing them with education and cyber security tools. Students will learn about consent and responsibility associated with cyber security. 

What it does

Teaches students how to decode a string, which is a phone number, and the phone number will respond by text with an encryption key. The encryption key is used to decrypt a link to tools and a tutorial. 

How I built it

I used Django on the server to decrypt the student's input according the the encoding selected.
Twilio is used to send the encryption key to the student.

Challenges I ran into

Using a Python 2 library for the encryption. 

Accomplishments that I'm proud of

Decoding and decrypting using Python. 

What I learned

How to convert the MultiEncoder library to Python 3. The Django framework.

What's next for Script Kiddie

Create user accounts. Add more encoded/encrypted links to tools and tutorials that are unique to each account. Make the web page simple and beautiful. Add a completion certificate that can be deployed to the Ethereum blockchain. 
",,,,,"python, django",0,Main lobby,West of table 48,Colorado State University,,Domain.com,CaseyKey,Colorado State University,0,,,
Horoscopes,https://hackcuv.devpost.com/submissions/113972-horoscopes,"coming soon
",,,,,"ml5, p5, javascript, html5, css3",0,main auditorium,1,University Of Colorado,,,userbeau,University of Colorado at Boulder,0,,,
what_the_click,https://hackcuv.devpost.com/submissions/113973-what_the_click,"Inspiration

Our inspiration was when we were trying to figure out what to do for our project, and we saw a pen. And we wondered, what if it was an IoT pen?

What it does

Through text messaging using Twilio and some Twitter functionality, we can make the pen click itself using a Dragonboard and an Arduino.

How we built it

We used a Dragonboard to run a server that we used to parse SMS commands that either communicates with an Arduino that controls the servo that clicks the pen or interfaces with other apps. 

Challenges we ran into

The Dragonboard doesn't have a PWM pin, which meant we had to also use an Arduino to be able to connect to the servo. We tried to incorporate Fitbit GPS functionality but quickly realized that it was very difficult to get the information from the Fitbit without using the Fitbit companion app, which we didn't want to use. We also tried to incorporate Alexa functionality but it was very difficult trying to register our Dragonboard as an Amazon IoT device. We had issues using OAuth to connect to other users with one Twitter Developer account. The Python dependencies weren't installed on the Dragonboard, which caused us some problems. It was also difficult to make the pen structurally strong enough to be able to handle multiple clicks without moving out of place.

Accomplishments that we're proud of

We made a pen that successfully clicks itself. We were able to incorporate Twilio as well so that we could click the pen using texting features, which also allowed us to use Google Assistant to control the pen using Google Routines. We were also able to tweet using the pen without accessing the Twitter app.

What we learned

We learned about various API's, such as Twilio, Twitter, Fitbit, and Amazon Alexa. We also learned how to use a Dragonboard to run our server. 

What's next for what_the_click

We'd like to make a more elegant, compact design for the pen. We would also like to add accelerometer support. We would also like to be able to make it work without a dedicated power supply. We would also like to add support for other messaging services other than SMS messaging. We would also like to add the ability to log into multiple Twitter accounts using the pen as well. 
",,https://github.com/adamhoerger/what_the_click,,"MLH: Best IoT Hack using a Qualcomm Device, Best use of Twitter API, Design, Build or Break Cyber Games for K-12 Education, Coolest Hack with Twilio, Best Hardware Hack",python,0,Aspen,52,University of Colorado Boulder,Dragonboard 410c,Qualcomm,neel010427,University of Colorado at Boulder,3,bjkim00,zhouzhouthezhou,adamhoerger
Run n Hike Monitor,https://hackcuv.devpost.com/submissions/113974-run-n-hike-monitor,"Inspiration:

Being a group of enthusiastic runners and trail aficionados, path tracking at regions without network connectivity was an important issue to us, we ended up brainstorming to solution to develop a 'run/hike tracker' which would still give you an exact path travelled without the need of live network connectivity. 

What it does

This project creates a way for a user to track the path he travels especially in areas where there is no mobile network which can be used to access internet and Google Maps consequently. This project allows the user to track the path he traversed using the GPS module which is present inside smartphone itself. Smartphone is a utility that every person carries so it is also one of the most suitable devices for such an application to be made. The android application developed in MIT App Inventor allows the user to to start and end his trip and the data collected by the GPS module working offline in that trip duration will be used to create a trajectory of the path the user took.

To keep the latitude and longitude locations taken by the GPS module, we have used Firebase by Google which is a real time database. We have implemented a ���Send Data�۝ button which the user can use to send the recorded GPS data over internet when he gets back in the network zone. After all the latitude and longitude locations are updated on Firebase, the user will be able to view his trip path on Google Maps by running a python program. The program fetches the Firebase data and uses that to point the exact locations where the user went. Our program also has the functionality of tracing the path using those points and show that on Google Maps.

Challenges we ran into


Google map APIs usage
Removing app local data
Interfacing google-map APIs with python


Accomplishments that we're proud of


Precise tracking using mobile GPS
Calculation of distance and speed.
Well-designed mobile application.
Usage of Google-map APIs


What we learned

We learned the working of GPS, Google Maps API and creating Android applications!

What's next for Smart Runner

Next updates for the Smart Runner include interfacing Altitude sensor from mobile phone to the app and Google maps. Also, make a 3D view of the total run or hike for a cooler app interface. Adding pictures and videos linked to different locations on the run or hike will add an immersive experience to it and make a sweet memory with the run/hike.
",,https://github.com/NikhilDivekar7/Hack_CU_2019,,"Dish Device Tracker, MLH: Best use of Google Cloud Platform, Best Beginner Hack","mit-app-inventor, python, html, google-maps, google-map-plotter, ubuntu, android, firebase",1,Loveland,TBD,University of Colorado Boulder,,Google Cloud Platform,NikhilDivekar,University of Colorado at Boulder,2,AnayGondhalekar,MohitRane8,
Binary Boy!,https://hackcuv.devpost.com/submissions/113975-binary-boy,"Summary:

Binary boy�۪s computer has been infected by a hacker! In order to save his data the user must help Binary Boy to stop the attack and find the hacker who has infected him. Along the way Binary boy must make use of multiple information security and cryptographic tools and techniques to take back his computer and reveal the hacker. 

Theme/Genre

Binary boy is a story based game that follows a series of mini games each teaching an unique cybersecurity topic. The game follows an overarching plot that outlines how a cyber attack may take place. This game takes place on Binary Boys computer, and each level takes the user to a new part of the computer. Thwarting the attack introduced in each game leads the user to more clues on how to stop the hacker.

Audience

The target audience of the game is elementary and middle school students. The game�۪s objective it to familiarize the player with cyber security terms and techniques without going into too many details. However, the difficulty of each challenge and the dialog can easily be scaled to a high school level.

Game Flow Summary

The user begins inside his home computer when he notices he is under attack. Binary boy�۪s first task is to take down the adware viruses using his binary blaster. After completing this, he continues on an adventure, learning about cryptography and cyber security, and . Subsequent levels continue to cover various security attacks and protective measures. 

Educational Design

Learning Objectives

The goal of the game is to introduce the user to a variety of cyber security terms and techniques. While there is no code involved, each mini games provides a unique perspective into a computer�۪s security structure and simulates how each attack might take place. Throughout the game the player is introduced to adware, unsecure connections, DDoS attacks, phishing, SQL injection, and ransomware.

Puzzle/Challenge Structure

The game is segregated into mini-levels, each levels content and gameplay difficulty progresses as the games continues. 

Play Flow

Each mini level contains a unique type of game play, include first person shooter, drag and drop, speed typing and strategy. The user is guided through each level until and prompted with instruction upon the start of a new level. 

Storyline

Setting

The game takes place inside of Binary Boy�۪s computer on the world wide web! The character is able to navigate all throughout his computer and can even travel to neighboring servers by surfing the web. The user will face challenges in the file system, motherboard, and at the router level. 

Characters

The game follows the adventures of Binary Boy. This is the play who the user controls through the game. Along the way the user will face a narrator and various enemies but no other primary characters. 

Visuals

Binary Boy was developed using GameMaker Studio (Game Maker Language). The player�۪s avatar is created using sprite sheets and other 2D graphics.  

Challenges

We only had free trial versions of GameMaker, which made development difficult. It was also hard to finish all of the content on time, as there are a lot of levels.

What we learned

2 of us had never used GameMaker before, so we spent a lot of time learning the software and IDE. Additionally, we learned how to plan out individual levels of a story game and relate them to educating young students.

Future Extension

There are many additions that can be made to this game prototype. For example space was left for a level simulating breaking through a user authentication protocol into the hackers desktop. There would also be efforts made to streamline the user interface and to add audio to the game. For the DDoS level extra functionality can be added too that will slow down Binary Boy as more packages damage either him or the server. Finally, there are levels with user input in the game that could be extended to teach about buffer overflow and sql injections.
",,https://github.com/savannahpaul/cyberGame,,"Design, Build or Break Cyber Games for K-12 Education",gamemaker,0,Main,31,Colorado School of Mines,,,savannahpaul456,Colorado School of Mines,2,jawarcholik,jgranley,
Bittr,https://hackcuv.devpost.com/submissions/113976-bittr,"Inspiration

What it does

How we built it

Challenges we ran into

Twilio iOS API documentation  

Accomplishments that we're proud of

What we learned

What's next for Bittr
",,https://github.com/mbellgb/bittr,,Coolest Hack with Twilio,"ios, swift, docker, node.js",0,Right side of the main auditorium,14,Birmingham City Universtiy,,,abdulajet,University College London,3,sprusr,harshpal,mbell
Social Engineering Wargames Site,https://hackcuv.devpost.com/submissions/113978-social-engineering-wargames-site,"Team name: Social Re-engineers

Inspiration

Sites like hackthissite, overthewire, and smashthestack and a lack of social engineering based wargames or wargame sites.

Summary

A website hosting multiple self-contained hacking wargame style challenges or challenge sets. Each designed to teach various concepts and methods used in social engineering and to raise awareness in the recognition of when social engineering is being used. (Currently a work in progress but planning on developing long term outside of this hackathon).

Educational Design

Learning Objectives


Learn various concepts/methods in social engineering.
Learn ways people can leverage info on targets.
Learn how interconnected personal information can be.
Learn the potential consequences of releasing seemingly innocuous info to the public.
Better prepare players to approach interactions (especially online interactions) with others with caution and critical thinking.


Puzzle/Challenge Structure


The website will consist of multiple challenges/missions for the player to go through under different collections of games grouped based on the core concepts they aim to teach, and organized in ascending order by difficulty.
Current games: recon & dialogue and social engineering capture the flag.


Recon & Dialogue - The player will go through a simulation of gaining access to the online bank account of a fictional character named Alexander Coleman. Will consist of 4 parts:


Finding a username from one of the social media sites of the mark. 
Gathering key information on the mark such as likes, dislikes, residence, the schools they attended, etc.
Actually interacting with person. This will be done through dialogue trees.
Combing all of the info gained from steps 1-3 and logging into the mark's bank account through a password reset answering a security question.

Social Engineering CTF - The player must call someone, strike up a conversation, and get the person to answer questions from a provided list. Will have multiple lists at different challenge levels.



Play Flow


Players will select a category of game, and then select a game based on difficulty, being able to start at or change to whatever level they feel comfortable with, ideally working their way up the difficulty ladder.


Storyline


Each game will have it's own context, with some having storylines and others simply being fun tasks:


Recon & Dialogue (work in progress): You are up and coming in the online grifting scene and are tasked with obtaining the banking info of a person named Alexander Coleman. We created accounts for him on Twitter, Facebook, and Instagram for use with this game.
Social Engineering CTF: Currently no story.


",,https://k-12-social-engineering.github.io/k12-Social-Engineering.github.io/,,"Design, Build or Break Cyber Games for K-12 Education","html5, javascript",1,Main Auditorium,42,Colorado School of Mines,,,m0unt4ine3r,Colorado School of Mines,0,,,
kindaRandom,https://hackcuv.devpost.com/submissions/113979-kindarandom,"Inspiration

We started to create a cybersecurity game, but abandoned it out of boredom. We then just started to brainstorm weird ideas we could do. Our next thought was to have the computer play telephone with itself, but the speech-to-text library we used was hard to implement on all our computers, and worked too well to introduce enough error to make the outcome interesting. We ended up just trying to do whatever, and ended up doing some webscraping and implementing the Twilio API.

What it does

The start of the game is an intentionally bad UI made in pygame. It has 3 buttons when it loads.
The first scrapes thispersondoesnotexist.com to get a random face and set the background of the game to that image.
The second scrapes the web for a random quote and then uses text to speech to say the quote, then uses the Twilio API to call one of our team members and say the quote.
The third exits the program.

How we built it

Python libraries and the Twilio API.
Lots of trial and error.

Challenges we ran into

Finding ideas for our project,
Libraries for text to speech didn't work cross-platform,
learning the Twilio API,
learning flask.

Accomplishments that we're proud of

We're glad the end result works as well as it does, even if the front end isn't impressive.

What we learned

How to use git, flask, Twilio API

What's next for kindaRandom

m0rE, R@nd0MSesS!1!
",,https://github.com/ncarn2/kindaRandom,,"Coolest Hack with Twilio, Best Beginner Hack","python, pygame, vim, youtube, twilio, github, api, google, idle, linux, windows-10, beginner, ui, bestui, random, webscrape, beautiful-soup, urlib, flask, ffmpeg",1,Main Auditorium,29,Colorado School of Mines (*3),,,MajorDerp4,Colorado School of Mines,2,arthurmayer,kmizuno874,
PyVideoMusicifier,https://hackcuv.devpost.com/submissions/113980-pyvideomusicifier,"PyVideoMusicifier

Procedurally Generated Music Videos

PyVideoMusicifier is an application that converts arbitrary input video
into a music video based on the accompanying song.

How Does It Work?

There are two main processing techniques used in PyVideoMusicifier,
fourier analysis and beat detection.

Fourier Analysis

Fourier analysis allows us to look at the spectral content of the video.
From this spectral content we can figure out what the maximum magnitude
of all the peaks are. From this magnitude we can adjust the brightness
of the video to correspond.

The Fourier transform is also directly visualized in the video. After
sampling the transform, the samples are overlayed on the vignette. This
allows certain musical effects to be seen as well as heard.

Beat Detection

Beat detection allows us to figure out at what timestamps beats occur in
the target audio file. From this list of timestamps we can grow and
shrink the vignette effect that is overlaying the video.
",,https://gitlab.com/ColoradoSchoolOfMines/pyvideomusicifier,,,,0,Main Atrium,32,Colorado School of Mines,,,robozman,Colorado School of Mines,1,Warfields,,
JeNeSaisQuoi,https://hackcuv.devpost.com/submissions/113981-jenesaisquoi,"JeNeSaisQuoi

Repository for HackCU Project Team JeNeSaisQuoi

Inspiration

We wanted to explore a big dataset and data visualization techniques. 

How we did it

Our journey led us to create a web app that used node.js for the backend web framework, d3.js for data visualizations, and a host of web apis that could be found in the RapidAPI repository for additional features. 

Challenges we ran into

Our initial plan was to host the dataset in Cloud Firestore, a database on the Google Cloud Platform. However, we ran into a lot of query performance and field-format issues. The field-format issues recurred again when we tried to set up a local mongodb collection.
",,https://github.com/Alder9/JeNeSaisQuoi,,"MLH: Best use of Google Cloud Platform, RapidAPI Best OctoAPI Hack","javascript, html, css, express.js, rapidapi, bing-search-api",0,Winter Park,9,1,,Google Cloud Platform,samunnat,University of Colorado at Boulder,1,Alder9,,
Leap Motion Mayhem,https://hackcuv.devpost.com/submissions/113982-leap-motion-mayhem,"What it does

A shooting game that allows you to control LEDs using hand gestures

How I built it

Built with Leap Motion, python, and an arduino. We used a cardboard box to mount the LEDs and arduino. We built the software with the Leap Python SDK, PySerial, and Arduino.

Challenges I ran into

None of us had ever worked with the Leap, so we had to figure it out as we went. We spent many hours figuring out how to interface the leap motion with the arduino. We settled with python and pyserial.

Accomplishments that I'm proud of

We were able to create a working game despite having never used the Leap Motion before.

What I learned

I learned a lot about the Leap developer kit and arduino.
",,,,"Best Hardware Hack, Best Beginner Hack","python, arduino, led, leap-motion",1,Main auditorium,28,"University of Colorado, Boulder",Leap Motion,,lukesoguero,University of Colorado at Boulder,2,masonm2012,coso9779,
WheresMySat,https://hackcuv.devpost.com/submissions/113984-wheresmysat,"WheresMySat

During the hackathon, we developed satellite orbit determination software keeping in mind accessibility, flexibility, and reusability.

First off, orbit determination allows engineers and scientists to identify where artificial bodies or natural celestial bodies are. Satellite orbit determination serves a wide range of purposes from allowing GPS users to calculate their own position on Earth to keeping tabs on deep space missions. Orbit determination algorithms input a-priori information and measurements of the object whose orbit is to be determined. We use a classical Kalman filter which is a sequential orbit determination algorithm which is able to provide an estimate of where a satellite will be by propagating an initial estimate forward according to system dynamics and updating that estimate each time it receives a measurement according to how ""confident"" the filter is in its own estimate and how ""confident"" the measurements themselves are.

We created a front end in order to present estimates of where a satellite is in order to make our software accessible. Our front end provides real-time solutions and diagnostics, allowing anyone to use the software, making orbit determination accessible to those who are not experts.

In order to address flexibility and reusability, we implemented automatic differentiation in our filter. In different orbit determination problems, states to be estimated and system dynamics vary. Within the filter, we must take partial derivatives of the system dynamics with respect to the states to be estimated which means that setting up each orbit determination problem can be time intensive if we take these partial derivatives numerically or set up analytical expressions to evaluate them. In our project, we implement automatic differentiation which allows us to input any amount of states without resetting the partials.

We set up a python web server to listen for simulated (or real) measurement inputs, which then ran the Kalman filter methods and estimated the state of the satellite at that time. This state was then pushed to an Influx database hosted on another computer, which displayed the data using a real-time updating graphical library.
",,https://github.com/rconnorjohnstone/WheresMySat,,,python,0,main,20,CU Boulder,,,chelseatnvu,University of Colorado at Boulder,1,mellemahp,,
Book_Grab,https://hackcuv.devpost.com/submissions/113985-book_grab,"Book_Grab

Grab those old school textbooks collecting dust on a shelf and post them online. When you post your books people will be able to bid on them or buy them outright (including the shipping label). Save money and earn credit to buy other students textbooks for those classes that have required textbooks.
",,https://github.com/rdbork/Book_Grab,,Best Beginner Hack,"python, css, html, javascript, bootstrap, flask",1,Next to S128,2,University of Colorado Boulder,,,rabo1997,University of Colorado at Boulder,0,,,
Classic Pong Game,https://hackcuv.devpost.com/submissions/113986-classic-pong-game,"Inspiration

As beginners, we wanted to gain more exposure to making games on Unity.

What it does

2 players can compete against each other. The controls for the left paddle are ""w"" and ""s"", and the right paddle is with ""o"" and ""k."" The game goes until one player reaches a score of 10.

How we built it

One game object at a time.

Challenges we ran into

Getting the ball to keep bouncing in the visual arena, rather than going off the screen into nothingness.
Also, we had to figure out how to prevent the Heads-Up Display from crashing the game.

Accomplishments that we're proud of

Making objects that can move based on user input.

What we learned

How to problem-solve and pay more attention to detail. We also learned some of what it takes to make a game. It takes much more time and effort than we thought, but yielding the working finished product makes it all worth it!

What's next for Lauren's Pong Game

Distribute for others to enjoy as well! Competition enables people to socialize, and having community with one-another can help build more meaningful friendships.
",,,,Best Beginner Hack,"unity, visual-studio",1,Eldora,4,United States Air Force Academy,,,blondieblue242,United States Air Force Academy,2,ggills150,y4b0isius,
OppenheimerFunds Big Data challenge 2019 @HackCU,https://hackcuv.devpost.com/submissions/113987-oppenheimerfunds-big-data-challenge-2019-hackcu,"OppenheimerFunds Big Data challenge 2019 @HackCU

This is a project where 3 of us, have to apply Cluster Analysis to mine the potential data hiding inside a dataset that contains 36 million records.

Jon and Baljot spent ninety percents of the time to analyze and apply the methodology to mine and organize the hidden data, Chun spent thirty percents of the time helping Jon and Baljot, and spent the rest of time to building the frontend website for presentation.
",,https://github.com/jotk/HackCU2019,,Big Data Analytics: Non-Obvious Web Traffic,"jupyter-notebook, pandas, numpy, matplotlib, html5, css3, java, sass, bootstrap",0,South 125,2,"University of Colorado Boulder, Neumont College of Computer Science",,,cyeung,Neumont College of Computer Science,0,,,
Juxtaposition,https://hackcuv.devpost.com/submissions/113988-juxtaposition,"Inspiration

Chaotic dynamics, static noise, etc...

What it does

its random

How I built it

lots of math

Challenges I ran into

random errors

Accomplishments that I'm proud of

It surprisingly works 

What I learned

double pendulums aren't intuitive

What's next for Juxtaposition

more randomness
",,,,,"webgl, javascript",0,south wing,1,1,,,blpa1200,University of Colorado at Boulder,2,saba6857,ChatHelper,
Poker AI,https://hackcuv.devpost.com/submissions/113989-poker-ai,"Inspiration

We are inspired by the lack of competitions for awesome coders like us! We want to create a platform where coders can compete in their ""sport"" and battle theirs peers in a coding arena.

What it does

It simulates a full game of Texas Hold'em with a very user friendly API allowing easy plug in play for any AI model they can dream of!

How we built it

The core game logic is built in python, we choose python because its the strongest widely known AI language. The display and server was built in HTML/Javascript

Challenges we ran into

Our largest challenge was time. If we had more time, we'd have built of vision to the fullest! We didn't waste a minute!

Accomplishments that we're proud of

What we learned

What's next for Poker AI
",,https://github.com/valyria257/HackCUV.git,,,"python, javascript, html, css",0,Main atrium,39,University of Colorado Boulder,,,valyria257,University of Colorado at Boulder,2,comu0011,kyhe5005,
Twitter Crawler,https://hackcuv.devpost.com/submissions/113990-twitter-crawler,"Inspiration

I believe we all have a duty to do something to leave a better world of heritage. The most efficient and fun way is mixing technology with social impact.
Technology has revolutionized industries, businesses, and governments. Now it is time to revolutionize society as well. The year of 2019 is emerging as an opportunity for changes; technology is becoming more accessible and people are increasingly more connected.

What it does

HappyBot is a platform that identifies and engages with young people with depression and suicidal tendencies. Our goal is to contribute to the 1,400,000 suicide attempts in 2017 only in the U.S never be repeated, acting proactively preventing announced tragedies. 

After working in projects with the community in general, we have noticed that young people between 15 and 20 years age in active school life do not share their feelings with relatives and friends, but they use the internet as an outlet. The result is an immense accumulation of relevant information about the youth's personality, which simply is not used. 

How HappyBot Works
HappyBot will apply AI in Twitter's data to identify if these individuals are going through put their own life in risk. The AI will extract relevant information from tweets, such as:


Emotional range
Entities
Keywords
Sentiment analysis


How I built it

Once identified, HappyBot will contact these individuals through Chabot conversations, suggesting alternative treatments according to the person's preferences, focused on healthy living practices (community groups, volunteer jobs, practicing sports, etc.)

The Artificial Intelligence engine categorizes thousands of data and shows the information to you in a simple and friendly screen, making it possible to navigate and search across the tweets.

Challenges I ran into

Twitter API accuracy, data source size, analyzing emoticons.

Accomplishments that I'm proud of

Be able to reach out people who are yelling for help in social media and try to engage them.

What I learned

Data is the new oil!!

What's next for Twitter Crawler

Develop a better UI application
",,http://inteligenti.mybluemix.net/ui,,Best use of Twitter API,"javascript, python, node-red",0,VAIL,51,watson institute,,,LucasFaria,,0,,,
Secure Cyber Land,https://hackcuv.devpost.com/submissions/113991-secure-cyber-land,"Inspiration

To Teach Kids about Cyber Security

What it does

An interactive world where students learn about how to be prepared for the cyber world through mini-games and an ultimate boss the Cyber Crook you must take down.

How I built it

Game Design Build Microsoft Word

Challenges I ran into

Technological knowledge to create the actual application.

Accomplishments that I'm proud of

The idea has big potential to help prevent bad actors from taking advantage of new users of the internet.

What I learned

General Cyber Security Knowledge

What's next for Secure the Cyber Land
",,,,"Design, Build or Break Cyber Games for K-12 Education",gdd,0,Main Room at Blockchain table,48 blockchain table,University of Colorado at Boulder,,,laneolsen21,,0,,,
